image_name,x_centers,y_centers,widths,heights
251.png,0.56396484375;0.8349609375;0.6064453125;0.5380859375;0.8115234375;0.626953125;0.86669921875,0.896484375;0.14713541666666666;0.049479166666666664;0.2903645833333333;0.8372395833333334;0.7486979166666666;0.6243489583333334,0.0595703125;0.05859375;0.05859375;0.052734375;0.05078125;0.05078125;0.0498046875,0.07942708333333333;0.078125;0.078125;0.0703125;0.06770833333333333;0.06770833333333333;0.06640625
252.png,0.321875;0.28875;0.680625;0.31625;0.129375;0.4025;0.635625;0.085625;0.9025;0.1875,0.8086538461538462;0.7538461538461538;0.052884615384615384;0.9538461538461539;0.4913461538461538;0.4423076923076923;0.3875;0.5173076923076924;0.8826923076923077;0.5365384615384615,0.05875;0.0575;0.05625;0.055;0.05375;0.0525;0.05125;0.05125;0.05;0.05,0.09038461538461538;0.08846153846153847;0.08653846153846154;0.08461538461538462;0.08269230769230769;0.08076923076923077;0.07884615384615384;0.07692307692307693;0.07692307692307693;0.07692307692307693
253.png,0.52;0.8;0.4990625;0.6875;0.2490625;0.5746875;0.8353125;0.4175,0.29633113828786456;0.9172154280338665;0.28927563499529635;0.3396048918156162;0.6994355597365945;0.6975540921919097;0.8273753527751646;0.1571025399811853,0.05875;0.05875;0.056875;0.055;0.054375;0.054375;0.053125;0.05,0.08842897460018814;0.08842897460018814;0.08560677328316087;0.08278457196613359;0.08184383819379115;0.08184383819379115;0.0799623706491063;0.07525870178739416
254.png,0.8876953125;0.919921875;0.41748046875;0.6640625;0.2490234375;0.2353515625;0.58544921875;0.4765625;0.046875;0.2080078125;0.23828125;0.8583984375,0.10677083333333333;0.26953125;0.7063802083333334;0.16927083333333334;0.2552083333333333;0.15494791666666666;0.5709635416666666;0.18359375;0.93359375;0.5520833333333334;0.6744791666666666;0.22786458333333334,0.05859375;0.05859375;0.0576171875;0.056640625;0.056640625;0.056640625;0.0556640625;0.0546875;0.052734375;0.052734375;0.05078125;0.05078125,0.078125;0.078125;0.07682291666666667;0.07552083333333333;0.07552083333333333;0.07552083333333333;0.07421875;0.07291666666666667;0.0703125;0.0703125;0.06770833333333333;0.06770833333333333
255.png,0.7829581993569131;0.7808145766345124;0.9367631296891747;0.2722400857449089;0.17845659163987138;0.8563772775991425;0.2497320471596999;0.29635584137191856;0.5541264737406216;0.2454448017148982,0.43214285714285716;0.555;0.09;0.14857142857142858;0.685;0.29428571428571426;0.8764285714285714;0.175;0.2857142857142857;0.7385714285714285,0.05894962486602358;0.05680600214362272;0.055734190782422297;0.055734190782422297;0.05466237942122187;0.05359056806002144;0.05359056806002144;0.05251875669882101;0.05144694533762058;0.05144694533762058,0.07857142857142857;0.07571428571428572;0.07428571428571429;0.07428571428571429;0.07285714285714286;0.07142857142857142;0.07;0.07;0.06857142857142857;0.06857142857142857
256.png,0.4778125;0.5071875;0.110625;0.410625;0.5728125;0.05;0.4225;0.655625,0.5854460093896714;0.1807511737089202;0.06384976525821597;0.39812206572769954;0.5291079812206573;0.6985915492957746;0.5483568075117371;0.780281690140845,0.058125;0.056875;0.05625;0.055;0.054375;0.0525;0.05125;0.05125,0.08732394366197183;0.08544600938967137;0.08450704225352113;0.08262910798122065;0.08169014084507042;0.07887323943661972;0.07699530516431925;0.07699530516431925
257.png,0.73203125;0.77578125;0.26015625;0.1;0.6640625;0.7984375;0.90390625;0.33828125;0.103125;0.165625,0.5140515222482436;0.12295081967213115;0.42505854800936765;0.0936768149882904;0.351288056206089;0.13114754098360656;0.9426229508196722;0.6428571428571429;0.28805620608899296;0.38875878220140514,0.0578125;0.0578125;0.0546875;0.053125;0.053125;0.053125;0.0515625;0.0515625;0.05;0.05,0.08665105386416862;0.08665105386416862;0.08196721311475409;0.07962529274004684;0.07962529274004684;0.07962529274004684;0.07728337236533958;0.07728337236533958;0.07494145199063232;0.07494145199063232
258.png,0.35791015625;0.95068359375;0.7041015625;0.2080078125;0.65380859375;0.57568359375;0.85595703125,0.8848631239935588;0.8735909822866345;0.7262479871175523;0.3397745571658615;0.4243156199677939;0.3325281803542673;0.857487922705314,0.0595703125;0.0595703125;0.05859375;0.056640625;0.0556640625;0.0537109375;0.0517578125,0.09822866344605476;0.09822866344605476;0.0966183574879227;0.09339774557165861;0.09178743961352658;0.08856682769726248;0.0853462157809984
259.png,0.1228125;0.8315625;0.9125;0.6028125;0.52;0.79875;0.3459375,0.8855534709193246;0.16932457786116323;0.8208255159474672;0.10741088180112571;0.7138836772983115;0.7551594746716698;0.6121013133208255,0.059375;0.058125;0.055;0.054375;0.05375;0.05375;0.053125,0.08818011257035648;0.08724202626641651;0.0825515947467167;0.08161350844277673;0.08067542213883677;0.08067542213883677;0.07973733583489681
260.png,0.3578125;0.80546875;0.7421875;0.40390625;0.53046875;0.0578125;0.59765625,0.2716627634660422;0.870023419203747;0.5245901639344263;0.09718969555035128;0.5843091334894613;0.1592505854800937;0.3126463700234192,0.059375;0.0578125;0.05625;0.0546875;0.0546875;0.053125;0.0515625,0.08899297423887588;0.08665105386416862;0.08430913348946135;0.08196721311475409;0.08196721311475409;0.07962529274004684;0.07728337236533958
261.png,0.86572265625;0.21533203125;0.4462890625;0.080078125;0.693359375;0.6171875;0.6064453125;0.76611328125;0.27099609375;0.64404296875;0.234375;0.77783203125,0.6946614583333334;0.2975260416666667;0.4908854166666667;0.8125;0.5013020833333334;0.21354166666666666;0.19010416666666666;0.283203125;0.068359375;0.08658854166666667;0.20182291666666666;0.6477864583333334,0.0595703125;0.0576171875;0.056640625;0.0546875;0.0546875;0.0546875;0.0546875;0.0537109375;0.0537109375;0.0537109375;0.052734375;0.0498046875,0.07942708333333333;0.07682291666666667;0.07552083333333333;0.07291666666666667;0.07291666666666667;0.07291666666666667;0.07291666666666667;0.07161458333333333;0.07161458333333333;0.07161458333333333;0.0703125;0.06640625
262.png,0.11726078799249531;0.6413383364602877;0.29362101313320826;0.27329580988117574;0.6388367729831145;0.23076923076923078;0.34740462789243276,0.737012987012987;0.1422077922077922;0.3525974025974026;0.7480519480519481;0.2525974025974026;0.05714285714285714;0.2318181818181818,0.058161350844277676;0.054409005628517824;0.054409005628517824;0.05378361475922452;0.05190744215134459;0.05128205128205128;0.05065666041275797,0.12077922077922078;0.11298701298701298;0.11298701298701298;0.11168831168831168;0.10779220779220779;0.10649350649350649;0.10519480519480519
263.png,0.54638671875;0.525390625;0.1533203125;0.5244140625;0.1015625;0.30810546875;0.40234375;0.1748046875;0.87060546875;0.24853515625;0.130859375;0.15380859375,0.7239583333333334;0.6015625;0.5872395833333334;0.546875;0.049479166666666664;0.3131510416666667;0.5572916666666666;0.25390625;0.5553385416666666;0.11263020833333333;0.9088541666666666;0.15559895833333334,0.0576171875;0.056640625;0.056640625;0.0546875;0.0546875;0.0537109375;0.052734375;0.052734375;0.0517578125;0.0517578125;0.05078125;0.0498046875,0.07552083333333333;0.07552083333333333;0.07552083333333333;0.07291666666666667;0.07291666666666667;0.07161458333333333;0.0703125;0.0703125;0.06901041666666667;0.06901041666666667;0.06770833333333333;0.06640625
264.png,0.61640625;0.64453125;0.9203125;0.1796875;0.8609375;0.61015625;0.93515625;0.06953125;0.57265625;0.73515625;0.446875,0.2069377990430622;0.05861244019138756;0.3444976076555024;0.7057416267942583;0.430622009569378;0.5705741626794258;0.4796650717703349;0.9174641148325359;0.6830143540669856;0.5514354066985646;0.6244019138755981,0.0578125;0.0578125;0.05625;0.05625;0.05625;0.0546875;0.0546875;0.0546875;0.0546875;0.0515625;0.05,0.08851674641148326;0.08851674641148326;0.0861244019138756;0.0861244019138756;0.0861244019138756;0.08373205741626795;0.08373205741626795;0.08373205741626795;0.08373205741626795;0.07894736842105263;0.07655502392344497
265.png,0.5303314571607255;0.5594121325828643;0.29924953095684803;0.3861788617886179;0.39337085678549094;0.060662914321450906;0.5437773608505316;0.5709818636647905;0.3702313946216385,0.5332348596750369;0.1986706056129985;0.20457902511078285;0.23485967503692762;0.8005908419497785;0.7887740029542097;0.44091580502215655;0.3353028064992615;0.4224519940915805,0.058786741713570984;0.058161350844277676;0.05565978736710444;0.05565978736710444;0.05503439649781113;0.05378361475922452;0.05190744215134459;0.05128205128205128;0.05128205128205128,0.13884785819793205;0.13737075332348597;0.13146233382570163;0.12998522895125553;0.12998522895125553;0.12703101920236337;0.12259970457902511;0.12112259970457903;0.12112259970457903
266.png,0.0903755868544601;0.7922535211267606;0.8192488262910798;0.7664319248826291;0.2605633802816901;0.6384976525821596;0.465962441314554,0.14788732394366197;0.662754303599374;0.9687010954616588;0.31846635367762127;0.6291079812206573;0.14710485133020346;0.6737089201877934,0.05868544600938967;0.05868544600938967;0.056338028169014086;0.0539906103286385;0.051643192488262914;0.051643192488262914;0.04929577464788732,0.03912363067292645;0.03912363067292645;0.03755868544600939;0.03599374021909233;0.03442879499217527;0.03442879499217527;0.03286384976525822
267.png,0.2182614133833646;0.14634146341463414;0.9055659787367104;0.7276422764227642;0.10412757973733583;0.8549093183239524;0.8577235772357723;0.3133208255159475;0.7379612257661038;0.5684803001876173;0.7945590994371482,0.5282485875706214;0.295668549905838;0.8531073446327684;0.3808851224105461;0.217984934086629;0.6666666666666666;0.051318267419962336;0.7015065913370998;0.13559322033898305;0.09887005649717515;0.9129001883239172,0.058786741713570984;0.05753595997498437;0.05628517823639775;0.05565978736710444;0.05565978736710444;0.05503439649781113;0.05315822388993121;0.0525328330206379;0.05128205128205128;0.05128205128205128;0.05065666041275797,0.08851224105461393;0.08662900188323917;0.0847457627118644;0.08380414312617702;0.08380414312617702;0.08286252354048965;0.0800376647834275;0.07909604519774012;0.07721280602636535;0.07721280602636535;0.07627118644067797
268.png,0.68212890625;0.4453125;0.2353515625;0.2841796875;0.02880859375;0.4521484375;0.08447265625,0.240234375;0.73046875;0.5677083333333334;0.5455729166666666;0.9381510416666666;0.07161458333333333;0.5188802083333334,0.0556640625;0.0546875;0.0546875;0.052734375;0.0517578125;0.05078125;0.0498046875,0.07421875;0.07291666666666667;0.07291666666666667;0.0703125;0.06901041666666667;0.06770833333333333;0.06640625
269.png,0.26666666666666666;0.132;0.21466666666666667;0.6186666666666667;0.736;0.8413333333333334;0.03866666666666667;0.8066666666666666;0.38133333333333336;0.08533333333333333,0.304;0.087;0.334;0.778;0.714;0.875;0.799;0.575;0.036;0.316,0.058666666666666666;0.056;0.056;0.05333333333333334;0.05333333333333334;0.050666666666666665;0.050666666666666665;0.050666666666666665;0.048;0.048,0.044;0.042;0.04;0.04;0.04;0.038;0.038;0.038;0.036;0.036
270.png,0.3369140625;0.955078125;0.6669921875;0.46630859375;0.05322265625;0.11572265625;0.14453125,0.7573529411764706;0.8161764705882353;0.34705882352941175;0.7757352941176471;0.8551470588235294;0.9316176470588236;0.31176470588235294,0.05859375;0.05859375;0.05859375;0.0576171875;0.0576171875;0.0576171875;0.052734375,0.08823529411764706;0.08823529411764706;0.08823529411764706;0.08676470588235294;0.08676470588235294;0.08676470588235294;0.07941176470588235
271.png,0.460625;0.56875;0.1475;0.294375;0.643125;0.951875;0.67;0.85375;0.20875,0.8232984293193717;0.8586387434554974;0.11780104712041885;0.569371727748691;0.9280104712041884;0.587696335078534;0.14136125654450263;0.09162303664921466;0.774869109947644,0.05875;0.0575;0.0575;0.05625;0.05625;0.05625;0.055;0.0525;0.05,0.12303664921465969;0.12041884816753927;0.12041884816753927;0.11780104712041885;0.11780104712041885;0.11780104712041885;0.11518324607329843;0.1099476439790576;0.10471204188481675
272.png,0.9016393442622951;0.06791569086651054;0.6252927400468384;0.7330210772833724;0.702576112412178;0.09601873536299765;0.2716627634660422;0.2423887587822014;0.4882903981264637;0.45550351288056207,0.225;0.2890625;0.5203125;0.35859375;0.71875;0.084375;0.85;0.75078125;0.70390625;0.18515625,0.05620608899297424;0.05620608899297424;0.05620608899297424;0.05620608899297424;0.05152224824355972;0.05152224824355972;0.05152224824355972;0.04918032786885246;0.04918032786885246;0.04918032786885246,0.0375;0.0375;0.0375;0.0359375;0.034375;0.034375;0.034375;0.0328125;0.0328125;0.0328125
273.png,0.084375;0.59375;0.87625;0.7940625;0.929375;0.90125;0.860625;0.970625;0.914375;0.80375;0.036875;0.1803125,0.29775280898876405;0.3801498127340824;0.8820224719101124;0.5706928838951311;0.7949438202247191;0.24157303370786518;0.5402621722846442;0.9559925093632958;0.2209737827715356;0.6601123595505618;0.7134831460674157;0.22331460674157302,0.05875;0.0575;0.0575;0.056875;0.055;0.05375;0.05375;0.05375;0.0525;0.05125;0.05125;0.050625,0.08801498127340825;0.08614232209737828;0.08614232209737828;0.0852059925093633;0.08239700374531835;0.08052434456928839;0.08052434456928839;0.08052434456928839;0.07865168539325842;0.07677902621722846;0.07677902621722846;0.07584269662921349
274.png,0.1930596285434995;0.29716520039100686;0.9369501466275659;0.15102639296187684;0.9711632453567938;0.544477028347996;0.6402737047898338;0.7717497556207233,0.8209635416666666;0.2838541666666667;0.5462239583333334;0.8951822916666666;0.13606770833333334;0.9309895833333334;0.4010416666666667;0.3053385416666667,0.05767350928641251;0.056695992179863146;0.05571847507331378;0.053763440860215055;0.05180840664711633;0.05083088954056696;0.05083088954056696;0.04985337243401759,0.07682291666666667;0.07552083333333333;0.07421875;0.07161458333333333;0.06901041666666667;0.06770833333333333;0.06770833333333333;0.06640625
275.png,0.73193359375;0.66748046875;0.1748046875;0.81298828125;0.70458984375;0.56103515625;0.9580078125;0.689453125,0.4889322916666667;0.728515625;0.3919270833333333;0.626953125;0.5553385416666666;0.287109375;0.13802083333333334;0.11458333333333333,0.0576171875;0.0576171875;0.056640625;0.0556640625;0.0556640625;0.0556640625;0.052734375;0.052734375,0.07682291666666667;0.07682291666666667;0.07552083333333333;0.07421875;0.07421875;0.07421875;0.0703125;0.0703125
276.png,0.2675;0.71875;0.7271875;0.5296875;0.9184375;0.8815625;0.9328125;0.56875;0.27;0.335625,0.4331140350877193;0.4440789473684211;0.19353070175438597;0.06743421052631579;0.6288377192982456;0.07510964912280702;0.4369517543859649;0.41885964912280704;0.2324561403508772;0.47149122807017546,0.05875;0.05875;0.058125;0.058125;0.058125;0.055625;0.054375;0.05375;0.0525;0.05125,0.10307017543859649;0.10307017543859649;0.10197368421052631;0.10197368421052631;0.10197368421052631;0.09758771929824561;0.09539473684210527;0.09429824561403509;0.09210526315789473;0.08991228070175439
277.png,0.9691011235955056;0.4241573033707865;0.19382022471910113;0.9260299625468165;0.6938202247191011;0.8108614232209738;0.08801498127340825;0.1956928838951311;0.3202247191011236;0.20037453183520598;0.149812734082397;0.1151685393258427,0.958125;0.580625;0.745625;0.629375;0.600625;0.90375;0.46875;0.159375;0.66125;0.815;0.23125;0.813125,0.05805243445692884;0.05805243445692884;0.05805243445692884;0.05805243445692884;0.05805243445692884;0.056179775280898875;0.056179775280898875;0.054307116104868915;0.052434456928838954;0.052434456928838954;0.052434456928838954;0.05056179775280899,0.03875;0.03875;0.03875;0.03875;0.03875;0.0375;0.0375;0.03625;0.035;0.035;0.035;0.03375
278.png,0.451171875;0.21630859375;0.72802734375;0.28271484375;0.12841796875;0.2763671875;0.3330078125,0.4152652005174644;0.6953428201811126;0.09249676584734799;0.12095730918499353;0.30206985769728334;0.7490297542043984;0.425614489003881,0.056640625;0.0556640625;0.0537109375;0.0517578125;0.0517578125;0.05078125;0.05078125,0.07503234152652005;0.07373868046571798;0.07115135834411385;0.0685640362225097;0.0685640362225097;0.06727037516170763;0.06727037516170763
279.png,0.6759375;0.878125;0.4809375;0.1621875;0.1890625;0.7603125;0.40875;0.5525;0.170625;0.5071875;0.9128125;0.2228125,0.39034676663542645;0.6551077788191191;0.13542642924086223;0.5164011246485474;0.18228678537956888;0.5693533270852859;0.059044048734770385;0.2830365510777882;0.09090909090909091;0.12699156513589505;0.5215557638238051;0.8092783505154639,0.059375;0.0575;0.056875;0.056875;0.055625;0.055625;0.055;0.05375;0.05375;0.051875;0.051875;0.050625,0.08903467666354264;0.08622305529522024;0.08528584817244611;0.08434864104967198;0.08341143392689784;0.08341143392689784;0.08247422680412371;0.08059981255857544;0.08059981255857544;0.07778819119025304;0.07778819119025304;0.07591377694470477
280.png,0.4677734375;0.3505859375;0.64306640625;0.0908203125;0.89990234375;0.15478515625;0.27978515625;0.56396484375;0.64111328125,0.8257686676427526;0.9231332357247438;0.23060029282576866;0.3089311859443631;0.5146412884333821;0.14568081991215226;0.24231332357247437;0.410688140556369;0.04172767203513909,0.05859375;0.05859375;0.0556640625;0.0546875;0.0537109375;0.0537109375;0.0517578125;0.0517578125;0.0498046875,0.08784773060029283;0.08638360175695461;0.08345534407027819;0.08199121522693997;0.08052708638360176;0.08052708638360176;0.07759882869692533;0.07759882869692533;0.0746705710102489
281.png,0.931640625;0.61669921875;0.32763671875;0.5126953125;0.5673828125;0.65234375;0.150390625;0.30810546875;0.14697265625;0.85400390625;0.376953125;0.4208984375,0.6119791666666666;0.5774739583333334;0.14973958333333334;0.10416666666666667;0.3111979166666667;0.09375;0.4401041666666667;0.228515625;0.4889322916666667;0.896484375;0.08203125;0.22981770833333334,0.05859375;0.0576171875;0.0576171875;0.056640625;0.056640625;0.0546875;0.0546875;0.0537109375;0.0537109375;0.0517578125;0.05078125;0.05078125,0.078125;0.07682291666666667;0.07552083333333333;0.07552083333333333;0.07552083333333333;0.07291666666666667;0.07291666666666667;0.07161458333333333;0.07161458333333333;0.06901041666666667;0.06770833333333333;0.06640625
282.png,0.19158878504672897;0.2177570093457944;0.03271028037383177;0.4719626168224299;0.814018691588785;0.9429906542056075;0.7925233644859813;0.31121495327102805;0.2719626168224299;0.7822429906542057;0.16822429906542055,0.071875;0.964375;0.956875;0.303125;0.529375;0.168125;0.4825;0.674375;0.770625;0.395625;0.065,0.05794392523364486;0.05794392523364486;0.05420560747663551;0.05420560747663551;0.05420560747663551;0.05420560747663551;0.052336448598130844;0.05046728971962617;0.05046728971962617;0.05046728971962617;0.048598130841121495,0.03875;0.03875;0.03625;0.03625;0.03625;0.03625;0.035;0.03375;0.03375;0.03375;0.0325
283.png,0.0810546875;0.720703125;0.2158203125;0.6474609375;0.21484375;0.52490234375;0.02685546875;0.28466796875;0.3818359375;0.23388671875;0.06494140625;0.58544921875,0.2908777969018933;0.5559380378657487;0.060240963855421686;0.5008605851979346;0.42168674698795183;0.8442340791738382;0.3244406196213425;0.4879518072289157;0.8743545611015491;0.8235800344234079;0.41566265060240964;0.36919104991394147,0.05859375;0.05859375;0.0546875;0.0546875;0.0546875;0.0537109375;0.0537109375;0.0537109375;0.052734375;0.0517578125;0.0517578125;0.0517578125,0.10327022375215146;0.10327022375215146;0.0963855421686747;0.0963855421686747;0.0963855421686747;0.09466437177280551;0.09466437177280551;0.09466437177280551;0.09294320137693632;0.09122203098106713;0.09122203098106713;0.09122203098106713
284.png,0.15380859375;0.59765625;0.9169921875;0.7001953125;0.25341796875;0.08447265625;0.5634765625;0.455078125;0.36474609375;0.73388671875;0.79443359375,0.384765625;0.15104166666666666;0.6881510416666666;0.7916666666666666;0.134765625;0.12174479166666667;0.2799479166666667;0.26953125;0.3951822916666667;0.5833333333333334;0.7311197916666666,0.0595703125;0.05859375;0.05859375;0.056640625;0.0556640625;0.0556640625;0.0546875;0.0546875;0.0517578125;0.0517578125;0.0498046875,0.07942708333333333;0.078125;0.07682291666666667;0.07552083333333333;0.07421875;0.07421875;0.07291666666666667;0.07291666666666667;0.06901041666666667;0.06770833333333333;0.06640625
285.png,0.7272727272727273;0.572336265884653;0.15591397849462366;0.9506353861192571;0.38025415444770283;0.250733137829912;0.6427174975562072;0.7634408602150538,0.40762463343108507;0.6297653958944281;0.8115835777126099;0.5667155425219942;0.8005865102639296;0.6326979472140762;0.6590909090909091;0.12463343108504399,0.05865102639296188;0.05767350928641251;0.05571847507331378;0.053763440860215055;0.05278592375366569;0.05180840664711633;0.05180840664711633;0.05083088954056696,0.08797653958944282;0.08651026392961877;0.08357771260997067;0.08064516129032258;0.07917888563049853;0.07771260997067449;0.07771260997067449;0.07624633431085044
286.png,0.63;0.0915625;0.4678125;0.443125;0.681875;0.639375;0.1734375,0.4444444444444444;0.7572362278244631;0.40289449112978526;0.5751633986928104;0.861811391223156;0.4323062558356676;0.2292250233426704,0.05875;0.058125;0.056875;0.05375;0.05375;0.05375;0.053125,0.08776844070961717;0.08590102707749767;0.08496732026143791;0.08029878618113913;0.08029878618113913;0.08029878618113913;0.07936507936507936
287.png,0.7903981264637002;0.775175644028103;0.7786885245901639;0.5304449648711944;0.6967213114754098;0.35714285714285715;0.8782201405152225;0.6323185011709602;0.34660421545667447;0.3442622950819672;0.35011709601873536,0.6125;0.89375;0.52109375;0.60078125;0.43515625;0.890625;0.190625;0.3796875;0.334375;0.61328125;0.57734375,0.0585480093676815;0.05620608899297424;0.053864168618266976;0.053864168618266976;0.053864168618266976;0.053864168618266976;0.05152224824355972;0.05152224824355972;0.05152224824355972;0.05152224824355972;0.04918032786885246,0.0375;0.0375;0.0359375;0.0359375;0.0359375;0.034375;0.034375;0.034375;0.034375;0.0328125;0.0328125
288.png,0.1209375;0.7884375;0.4371875;0.866875;0.9390625;0.16875;0.5609375;0.465;0.79875;0.5828125;0.144375,0.10741088180112571;0.9188555347091932;0.18151969981238275;0.1022514071294559;0.28377110694183866;0.4324577861163227;0.3968105065666041;0.625703564727955;0.06848030018761726;0.2603189493433396;0.6463414634146342,0.059375;0.059375;0.058125;0.0575;0.056875;0.05375;0.053125;0.0525;0.0525;0.051875;0.05125,0.08911819887429644;0.08911819887429644;0.08724202626641651;0.08630393996247655;0.08536585365853659;0.08067542213883677;0.07879924953095685;0.07879924953095685;0.07879924953095685;0.07786116322701689;0.07692307692307693
289.png,0.5625;0.36865234375;0.81884765625;0.68896484375;0.8095703125;0.50048828125;0.14111328125;0.86767578125;0.951171875;0.240234375;0.88232421875;0.466796875,0.20497803806734993;0.7679355783308931;0.3008784773060029;0.9224011713030746;0.9407027818448024;0.8689604685212299;0.4970717423133236;0.6756954612005857;0.5885797950219619;0.8462664714494875;0.6478770131771596;0.9619326500732065,0.05859375;0.0576171875;0.0576171875;0.0576171875;0.056640625;0.0556640625;0.0556640625;0.0556640625;0.052734375;0.052734375;0.0517578125;0.05078125,0.08784773060029283;0.08638360175695461;0.08638360175695461;0.0849194729136164;0.08345534407027819;0.08345534407027819;0.08345534407027819;0.08345534407027819;0.07906295754026355;0.07906295754026355;0.07759882869692533;0.07613469985358712
290.png,0.6689453125;0.62841796875;0.70947265625;0.61572265625;0.69384765625;0.17724609375;0.52783203125,0.6653645833333334;0.7180989583333334;0.22981770833333334;0.17122395833333334;0.042317708333333336;0.5755208333333334;0.061848958333333336,0.05859375;0.0576171875;0.0556640625;0.0556640625;0.0537109375;0.0537109375;0.0498046875,0.078125;0.07682291666666667;0.07421875;0.07421875;0.07161458333333333;0.0703125;0.06640625
291.png,0.8388671875;0.07373046875;0.6220703125;0.73779296875;0.95263671875;0.39404296875;0.626953125;0.50537109375,0.06680584551148225;0.5;0.8183716075156576;0.8820459290187892;0.4582463465553236;0.7693110647181628;0.1941544885177453;0.2974947807933194,0.05859375;0.0576171875;0.056640625;0.0537109375;0.0537109375;0.0517578125;0.05078125;0.0498046875,0.12526096033402923;0.12317327766179541;0.12108559498956159;0.11482254697286012;0.11482254697286012;0.11064718162839249;0.10855949895615867;0.10647181628392484
292.png,0.4096875;0.6521875;0.05375;0.2590625;0.2865625;0.3825;0.0934375;0.631875;0.1459375;0.7509375,0.7460168697282099;0.7089971883786317;0.5923149015932521;0.11949390815370196;0.9353327085285849;0.9372071227741331;0.6415182755388941;0.4901593252108716;0.6040299906279287;0.6377694470477976,0.059375;0.056875;0.055;0.054375;0.054375;0.0525;0.051875;0.05125;0.050625;0.050625,0.08809746954076851;0.08528584817244611;0.08247422680412371;0.08153701968134958;0.08059981255857544;0.07872539831302718;0.07778819119025304;0.07685098406747891;0.07591377694470477;0.07591377694470477
293.png,0.06365740740740741;0.9699074074074074;0.4976851851851852;0.5636574074074074;0.8310185185185185;0.6875;0.4097222222222222;0.5925925925925926;0.6261574074074074,0.40923317683881066;0.3348982785602504;0.107981220657277;0.07433489827856025;0.8153364632237872;0.9358372456964006;0.9593114241001565;0.6291079812206573;0.2699530516431925,0.05787037037037037;0.05555555555555555;0.05555555555555555;0.05324074074074074;0.05092592592592592;0.05092592592592592;0.05092592592592592;0.05092592592592592;0.04861111111111111,0.03912363067292645;0.03755868544600939;0.03755868544600939;0.03599374021909233;0.03442879499217527;0.03442879499217527;0.03442879499217527;0.03442879499217527;0.03286384976525822
294.png,0.740625;0.544375;0.860625;0.81375;0.87;0.27625;0.815;0.345625;0.535,0.106875;0.644375;0.423125;0.41625;0.495;0.22375;0.13125;0.2825;0.85,0.05875;0.05875;0.05875;0.0575;0.055;0.055;0.055;0.05125;0.05,0.05875;0.05875;0.05875;0.0575;0.055;0.055;0.055;0.05;0.05
295.png,0.8662109375;0.09423828125;0.77587890625;0.65625;0.453125;0.89306640625;0.89306640625;0.29443359375,0.06719653179190752;0.8013005780346821;0.21459537572254336;0.911849710982659;0.625;0.22615606936416185;0.4024566473988439;0.42846820809248554,0.05859375;0.0556640625;0.0537109375;0.052734375;0.052734375;0.0498046875;0.0498046875;0.0498046875,0.08526011560693642;0.08236994219653179;0.07947976878612717;0.07803468208092486;0.07658959537572255;0.07369942196531792;0.07369942196531792;0.07369942196531792
296.png,0.55625;0.88125;0.2575;0.085;0.5625;0.49125;0.24875;0.73625;0.7575,0.36006825938566556;0.8993174061433447;0.8054607508532423;0.5051194539249146;0.16382252559726962;0.5989761092150171;0.40784982935153585;0.38054607508532423;0.2935153583617747,0.0575;0.0575;0.055;0.055;0.055;0.0525;0.0525;0.0525;0.05,0.07849829351535836;0.07849829351535836;0.07508532423208192;0.07508532423208192;0.07508532423208192;0.07167235494880546;0.07167235494880546;0.07167235494880546;0.06825938566552901
297.png,0.1046875;0.6115625;0.3390625;0.6703125;0.43125;0.3984375;0.3746875;0.8171875;0.7096875;0.14875,0.7593808630393997;0.7734521575984991;0.7593808630393997;0.9554409005628518;0.924015009380863;0.5361163227016885;0.15056285178236398;0.5651969981238274;0.4104127579737336;0.7964352720450282,0.059375;0.058125;0.058125;0.056875;0.055;0.053125;0.053125;0.051875;0.050625;0.05,0.08911819887429644;0.08724202626641651;0.08724202626641651;0.08536585365853659;0.0825515947467167;0.07973733583489681;0.07973733583489681;0.07786116322701689;0.07598499061913697;0.075046904315197
298.png,0.75341796875;0.80810546875;0.19921875;0.3466796875;0.330078125;0.62744140625;0.62158203125,0.9328180737217598;0.4167657550535077;0.5600475624256838;0.1938168846611177;0.6076099881093936;0.7520808561236623;0.9280618311533888,0.0576171875;0.0556640625;0.0546875;0.0546875;0.0546875;0.0517578125;0.0498046875,0.07015457788347206;0.06777645659928656;0.06658739595719382;0.06658739595719382;0.06658739595719382;0.06302021403091558;0.06064209274673008
299.png,0.96044921875;0.505859375;0.220703125;0.4638671875;0.18603515625;0.4892578125;0.96875,0.4831546707503829;0.20520673813169985;0.3537519142419602;0.7075038284839203;0.389739663093415;0.38284839203675347;0.5880551301684533,0.0595703125;0.056640625;0.056640625;0.0546875;0.0517578125;0.05078125;0.05078125,0.09341500765696784;0.0888208269525268;0.0888208269525268;0.08575803981623277;0.08116385911179173;0.07963246554364471;0.07963246554364471
300.png,0.9234375;0.94375;0.559375;0.4796875;0.2828125;0.521875;0.265625;0.653125;0.1625;0.684375,0.26875;0.6541666666666667;0.5166666666666667;0.035416666666666666;0.29791666666666666;0.275;0.8875;0.1;0.11458333333333333;0.59375,0.059375;0.05625;0.05625;0.053125;0.053125;0.05;0.05;0.05;0.05;0.05,0.07916666666666666;0.075;0.075;0.07083333333333333;0.07083333333333333;0.06666666666666667;0.06666666666666667;0.06666666666666667;0.0625;0.0625
